Codename,Type of File,Name of File,Location,Description,Text in Documents,Key Words,Additional Comments
Journalist_Interview_Photo_4,Photo,"""politician_reading_news_photo""","""Interviews"" folder",politician looking person,x,x,x
Journalist_Interview_Photo_5,Photo,"""round_table_meeting_photo""","""Interviews"" folder",sitting at round table,x,x,x
Journalist_Social Media_Entry_1,Text Line,x,"""Tweetbook"" app","""Just published a new article on my blog. Read it here: hhtp:\\glassreports.tmm\ #article #blog""",x,x,x
Journalist_Social Media_Entry_2,Text Line,x,"""Tweetbook"" app","""Got a ticket for being two minutes late on my parking meter. Ugh #copshavenolife #itwasJUST2MINUTES""",x,x,x
Journalist_Social Media_Entry_3,Text Line,x,"""Tweetbook"" app","""The truth is out there #truthbusters""",x,x,x
Journalist_Social Media_Entry_4,Text Line,x,"""Tweetbook"" app","""Can't start my mornings without a mocha latte!! #mochalatte #coffee #coffeeshop""",x,x,Attach photo
Journalist_Social Media_Entry_5,Text Line,x,"""Tweetbook"" app","""The second you see a dog on the street you know your day has been made #blessed""",x,x,x
Journalist_Social Media_Entry_6,Text Line,x,"""Tweetbook"" app","""Got my degree! Look out world, here comes Tamara Glass! #realworldready""",x,x,x
Journalist_Social Media_Entry_7,Text Line,x,"""Tweetbook"" app","""Currently meeting with a super top secret client. Hope this all goes well. #secretsecret""",x,x,x
Journalist_Social Media_Entry_8,Text Line,x,"""Tweetbook"" app","""I ask Google the questions I'm too scared to ask other people. #seriously""",x,x,x
Journalist_Social Media_Entry_9,Text Line,x,"""Tweetbook"" app","""Why is it called Taco Tuesdays instead of Tequila Tuesdays? #turnuptuesday""",x,x,x
Journalist_Social Media_Entry_10,Text Line,x,"""Tweetbook"" app","""Got something in the works that'll blow everyone's minds! Keep an eye out! #mindblown""",x,x,x
Journalist_Friends_Photo_1,Photo,"""spring_break_vacay""","""Photos' folder",x,x,x,x
Journalist_Friends_Photo_2,Photo,"""squad_goals""","""Photos' folder",x,x,x,x
Journalist_Friends_Photo_3,Photo,"""sleepoverrr""","""Photos' folder",x,x,x,x
Journalist_Friends_Photo_4,Photo,"""goof_balls""","""Photos' folder",x,x,x,x
Journalist_Selfie_1,Photo,"""headshot""","""Photos' folder",Professional headshot,x,x,x
Journalist_Selfie_2,Photo,"""on_the_job""","""Photos' folder",glammed up,x,x,x
Journalist_Selfie_3,Photo,"""just_being_me""","""Photos' folder",casual ,x,x,x
Journalist_Vacation_Photo_1,Photo,"""taking_in_the_sights""","""Photos' folder",x,x,x,x
Journalist_Vacation_Photo_2,Photo,"""cowabunga""","""Photos' folder",x,x,x,x
Journalist_Vacation_Photo_3,Photo,"""piña_colada_on_the_beach""","""Photos' folder",x,x,x,x
Journalist_Browser_History_Entry_1,Text Line,x,"""NetSurfer"" app","""Charlotte Nikolaev's death""",x,x,x
Journalist_Browser_History_Entry_2,Text Line,x,"""NetSurfer"" app","""Taxi services near me""",x,x,x
Journalist_Browser_History_Entry_3,Text Line,x,"""NetSurfer"" app","""Cheap insurance plans""",x,x,x
Journalist_Browser_History_Entry_4,Text Line,x,"""NetSurfer"" app","""Coffee shops near me""",x,x,x
Journalist_Browser_History_Entry_5,Text Line,x,"""NetSurfer"" app","""How to talk to paranoid people""",x,x,x
Journalist_Folder_Aritcles,Folder,"""Articles""",x,x,x,x,x
Journalist_Folder_Article_Ideas,Text Document,"""Article_Ideas""","""Articles"" folder",list of ideas ,"""What it takes to make the best cup of coffee , Vacation hotspots , Look into local politics , Public opinion on...something , What's trending , Look into reoccuring public figures""",x,x
