Codename,Type of File,Name of File,Location,Description,Text in Documents,Key Words,Additional Comments
Tech_Guy_Browser_History_Entry_4,Text Line,x,"""NetSurfer"" app","""Cheap tickets out of the country""",x,x,x
Tech_Guy_Browser_History_Entry_5,Text Line,x,"""NetSurfer"" app","""Nikolaev potential doubters""",x,x,x
Tech_Guy_Browser_History_Entry_6,Text Line,x,"""NetSurfer"" app","""how did Nikolaev die?""",x,x,x
Tech_Guy_Browser_History_Entry_7,Text Line,x,"""NetSurfer"" app","""Press on assassinations of presidents""",x,x,x
Tech_Guy_Browser_History_Entry_8,Text Line,x,"""NetSurfer"" app","""Oswald Porter""",x,x,x
Tech_Guy_Browser_History_Entry_9,Text Line,x,"""NetSurfer"" app","""Government spending""",x,x,x
Tech_Guy_Browser_History_Entry_10,Text Line,x,"""NetSurfer"" app","""Government candidates""",x,x,x
Tech_Guy_NonEncrypted_File_1,Text Document,"""Additional_Research""","""For Review"" folder",list of ways one can come into power,"""Two Presidential candidates run against each other, the one with the most votes becomes President while the loser becomes Vice President. If President is unable to serve, ill, resigns, dies, impeached, the Vice President will be promoted to President,""",x,x
Tech_Guy_NonEncrypted_File_2,Photo,"""123""","""Assorted"" folder",A non-descript profile picture for his alias,x,x,x
Tech_Guy_NonEncrypted_File_4,Folder,"""Assorted""","""Assorted"" folder","of random code files, notepad docs",x,,x
Tech_Guy_NonEncrypted_File_5,Text Document,"""Research""","""Assorted"" folder",something on political power,"""Money has too much influence on politics? Bribing for power? Bribing to kill for power""",x,x
Tech_Guy_Encrypted_File_3,Photo,"""Retreat""","""For Review"" folder",A cabin in the middle of nowhere,,x,x
Tech_Guy_Email_Correspondence_2,Text Document,"""Catching Up""","""Inbox"" app",reconnecting with an old classmate,"""Hello, I know it's been a long time since we've talked, but I figured now was as good a time as any to try and reconnect. What have you been up to since college? Me, I've been doing pretty well. Married Martha and I got a couple of kids out of it, so that's good. I know you were never really the domestic type, but I think you'd like my kids. They're pretty cool. Anyway, I'd love to hear from you, man. It's been forever. Regards, Elliot Marek""",x,x
Tech_Guy_Email_Correspondence_3,Text Document,"""Paid Work""","""Inbox"" app",business inquiry from customer,"""Dear Mr. Porter, Singh Quincey here, from Quincey & Sons Inc. I had you upgrade the computers for my company about a month or so ago and I wanted to possibly hire you for some more work. My youngest son's birthday is coming up and I'd like to hire you to put together a computer for him. The more powerful the better as he'll be going off to college this year. His birthday is in two months, so if you could let me know your response ASAP that'd be great. Thank you for your time, Mr. Porter. Sincerely, Singh Quincey Owner and C.E.O. of Quincey & Sons Inc.""",x,x
Tech_Guy_Email_Correspondence_4,Text Document,"""Problem with Laptop please help""","""Inbox"" app",someone emailing about how to fix their computer,"""To Oswald Porter, I got your contact info from your business card. I have some problems with my laptop. The screen is all black but I know the power is on. Can you help me? Call me at 555-512-5234.""",x,x
Tech_Guy_Email_Correspondence_5,Text Document,"""IMPORTANT: Response Needed ASAP""","""Inbox"" app",email from coworker asking about specific tech stuff,"""Hey Oswald, I need some help running diagnostics on a locked vPhone. Message me when you get this. Mo.""",x,x
,,,,,,,x
